DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Ano 1º Sintoma(s) e Semana epidem. 1º Sintomas(s)
Período:2020
"Ano 1º Sintoma(s)";"Em Branco/ign";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Semana 14";"Semana 15";"Semana 16";"Semana 17";"Semana 18";"Semana 19";"Semana 20";"Semana 21";"Semana 22";"Semana 23";"Semana 24";"Semana 25";"Semana 26";"Semana 27";"Semana 28";"Semana 29";"Semana 30";"Semana 31";"Semana 32";"Semana 33";"Semana 34";"Semana 35";"Semana 36";"Semana 37";"Semana 38";"Semana 39";"Semana 40";"Semana 41";"Semana 42";"Semana 43";"Semana 44";"Semana 45";"Semana 46";"Semana 47";"Semana 48";"Semana 49";"Semana 50";"Semana 51";"Semana 52";"Semana 53";"Total"
"Em Branco/ign";6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"<1975";-;8;13;9;13;10;11;12;14;12;7;3;5;7;14;11;9;6;12;12;5;12;6;9;10;8;7;14;12;6;11;19;12;8;9;11;11;10;14;12;10;5;10;10;7;9;10;14;9;7;5;7;18;-;515
"1975";-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;1;-;1;-;-;-;1;2;-;-;2;-;-;-;1;-;-;1;-;1;1;1;-;3;-;-;-;1;-;-;-;1;1;1;-;1;-;-;-;22
"1976";-;-;1;-;2;2;1;1;-;1;-;-;-;-;1;1;-;1;-;-;1;-;-;-;-;-;-;-;-;1;-;1;-;-;-;1;1;1;1;-;-;-;1;-;3;1;5;2;1;-;-;-;1;-;32
"1977";-;-;3;-;1;2;1;-;-;-;1;2;-;1;1;-;-;-;-;2;-;2;1;-;-;-;1;-;-;2;-;2;-;1;-;2;-;-;-;-;1;-;-;-;2;-;1;-;2;-;-;-;-;-;31
"1978";-;-;-;-;3;-;-;3;-;-;-;1;1;2;1;-;-;1;-;1;-;-;2;2;1;1;-;1;-;1;-;2;-;2;1;1;3;-;-;1;-;1;-;1;1;-;2;-;2;1;1;-;1;-;41
"1979";-;-;-;-;1;1;-;-;2;-;1;1;-;1;2;1;2;2;-;-;-;1;3;2;-;-;-;-;-;-;3;-;1;-;-;-;-;-;2;-;1;1;-;1;1;-;-;1;2;-;-;-;1;-;34
"1980";-;-;-;-;1;1;-;-;2;1;1;-;-;1;1;1;-;-;3;1;1;-;1;2;1;1;2;-;-;1;1;-;-;2;-;2;-;-;1;1;-;-;-;1;1;1;-;-;1;-;-;-;-;-;33
"1981";-;-;1;-;1;2;1;-;-;2;-;4;3;-;-;2;-;-;2;-;2;-;-;1;1;2;-;-;2;1;3;1;-;1;-;-;-;-;3;1;2;-;-;1;-;1;-;1;1;-;1;2;1;-;46
"1982";-;2;1;1;1;1;2;-;1;-;1;-;1;1;-;-;1;-;1;-;-;1;1;-;-;2;1;1;-;-;-;1;-;1;-;-;-;1;1;-;-;1;-;-;1;1;-;-;-;-;1;1;-;-;29
